date,ticker,open,high,low,close,volume,adj_factor
2018-01-02,AAPL,42.540000915527344,43.07500076293945,42.314998626708984,43.064998626708984,25555934.0,4.0
2018-01-03,AAPL,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,29517900.0,4.0
2018-01-04,AAPL,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,22434597.0,4.0
2018-01-05,AAPL,43.36000061035156,43.842498779296875,43.26250076293945,43.75,23660018.0,4.0
2018-01-08,AAPL,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,20567766.0,4.0
2018-01-09,AAPL,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,21584957.0,4.0
2018-01-10,AAPL,43.290000915527344,43.57500076293945,43.25,43.5724983215332,23970095.0,4.0
2018-01-11,AAPL,43.647499084472656,43.87215042114258,43.622501373291016,43.81999969482422,18667729.0,4.0
2018-01-12,AAPL,44.04499816894531,44.34000015258789,43.912498474121094,44.272499084472656,25415580.0,4.0
2018-01-16,AAPL,44.474998474121094,44.84749984741211,44.03499984741211,44.04750061035156,29599936.0,4.0
2018-01-17,AAPL,44.037498474121094,44.8125,43.76750183105469,44.775001525878906,34387136.0,4.0
2018-01-18,AAPL,44.842498779296875,45.025001525878906,44.5625,44.814998626708984,31193352.0,4.0
2018-01-19,AAPL,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,32429767.0,4.0
2018-01-22,AAPL,44.32500076293945,44.44499969482422,44.15039825439453,44.25,27109541.0,4.0
2018-01-23,AAPL,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,32689142.0,4.0
2018-01-24,AAPL,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,51114372.0,4.0
2018-01-25,AAPL,43.626251220703125,43.73749923706055,42.63249969482422,42.77750015258789,41528087.0,4.0
2018-01-26,AAPL,43.0,43.0,42.51499938964844,42.877498626708984,39142861.0,4.0
2018-01-29,AAPL,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,50649512.0,4.0
2018-01-30,AAPL,41.381248474121094,41.842498779296875,41.17499923706055,41.74250030517578,46054075.0,4.0
2018-01-31,AAPL,41.717498779296875,42.11042404174805,41.625,41.85749816894531,32480017.0,4.0
2018-02-01,AAPL,41.7912483215332,42.154998779296875,41.689998626708984,41.94499969482422,47231571.0,4.0
2018-02-02,AAPL,41.5,41.70000076293945,40.025001525878906,40.125,86594027.0,4.0
2018-02-05,AAPL,39.775001525878906,40.970001220703125,39.0,39.122501373291016,72762180.0,4.0
2018-02-06,AAPL,38.70750045776367,40.93000030517578,38.5,40.75749969482422,68243731.0,4.0
2018-02-07,AAPL,40.7712516784668,40.849998474121094,39.76712417602539,39.8849983215332,52358204.0,4.0
2018-02-08,AAPL,40.0724983215332,40.25,38.75749969482422,38.787498474121094,56390381.0,4.0
2018-02-09,AAPL,39.26750183105469,39.47249984741211,37.560001373291016,39.102500915527344,71499574.0,4.0
2018-02-12,AAPL,39.625,40.97249984741211,39.377498626708984,40.6775016784668,61819638.0,4.0
2018-02-13,AAPL,40.48749923706055,41.1875,40.412498474121094,41.084999084472656,32567631.0,4.0
2018-02-14,AAPL,40.76124954223633,41.8849983215332,40.720001220703125,41.842498779296875,40644933.0,4.0
2018-02-15,AAPL,42.4474983215332,43.272499084472656,42.25,43.247501373291016,51206372.0,4.0
2018-02-16,AAPL,43.09000015258789,43.70500183105469,42.942501068115234,43.10749816894531,40176067.0,4.0
2018-02-20,AAPL,43.01250076293945,43.564998626708984,42.85499954223633,42.962501525878906,33932378.0,4.0
2018-02-21,AAPL,43.20750045776367,43.529998779296875,42.752498626708984,42.76750183105469,37472728.0,4.0
2018-02-22,AAPL,42.95000076293945,43.48749923706055,42.9275016784668,43.125,31010840.0,4.0
2018-02-23,AAPL,43.41749954223633,43.912498474121094,43.3849983215332,43.875,33812360.0,4.0
2018-02-26,AAPL,44.087501525878906,44.84749984741211,44.0525016784668,44.74250030517578,38172285.0,4.0
2018-02-27,AAPL,44.775001525878906,45.119998931884766,44.540000915527344,44.59749984741211,38935123.0,4.0
2018-02-28,AAPL,44.814998626708984,45.153751373291016,44.51250076293945,44.529998779296875,37782135.0,4.0
2018-03-01,AAPL,44.6349983215332,44.943748474121094,43.165000915527344,43.75,48802761.0,4.0
2018-03-02,AAPL,43.20000076293945,44.07500076293945,43.11249923706055,44.0525016784668,38453839.0,4.0
2018-03-05,AAPL,43.8025016784668,44.435001373291016,43.630001068115234,44.20500183105469,28406363.0,4.0
2018-03-06,AAPL,44.477500915527344,44.5625,44.032501220703125,44.16749954223633,23795179.0,4.0
2018-03-07,AAPL,43.73500061035156,43.962501525878906,43.567501068115234,43.75749969482422,31703462.0,4.0
2018-03-08,AAPL,43.869998931884766,44.279998779296875,43.76750183105469,44.23500061035156,23776107.0,4.0
2018-03-09,AAPL,44.4900016784668,45.0,44.34749984741211,44.994998931884766,32185714.0,4.0
2018-03-12,AAPL,45.0724983215332,45.59749984741211,45.0525016784668,45.43000030517578,32207081.0,4.0
2018-03-13,AAPL,45.647499084472656,45.875,44.810001373291016,44.99250030517578,31692529.0,4.0
2018-03-14,AAPL,45.08000183105469,45.130001068115234,44.45249938964844,44.61000061035156,29359877.0,4.0
2018-03-15,AAPL,44.625,45.060001373291016,44.51752471923828,44.662498474121094,22743958.0,4.0
2018-03-16,AAPL,44.662498474121094,44.779998779296875,44.404998779296875,44.505001068115234,39403996.0,4.0
2018-03-19,AAPL,44.33000183105469,44.36750030517578,43.415000915527344,43.82500076293945,33449671.0,4.0
